id,company,companySlug,title,roleCategory,country,location,isRemote,isInternship,datePostedUtc,firstDiscoveredAtUtc,lastVerifiedAtUtc,scoutJobUrl,sourceUrl
876d9d98-c5c4-4f69-8b68-f51828331a16,JPMorgan Chase,jpmorgan,Software Engineer II,SoftwareEngineering,United States,United States,False,False,,2026-06-24T10:55:11.395626Z,2026-06-24T10:55:11.395626Z,https://www.scoutjob.me/jobs/jpmorgan-software-engineer-ii-210740415,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210740415
37169420-75d0-4284-9932-829086fa2f73,Okta,okta,Senior Software Engineer,SeniorSoftwareEngineering,India,India,False,False,,2026-06-24T10:54:44.390842Z,2026-06-24T10:54:44.390842Z,https://www.scoutjob.me/jobs/okta-senior-software-engineer-7995191,https://www.okta.com/company/careers/opportunity/7995191
29589073-63a7-40cd-9367-93f1d3be1388,Okta,okta,Senior Software Engineer,SeniorSoftwareEngineering,India,India,False,False,,2026-06-24T10:54:44.271504Z,2026-06-24T10:54:44.271504Z,https://www.scoutjob.me/jobs/okta-senior-software-engineer-8021050,https://www.okta.com/company/careers/opportunity/8021050
496f9fdb-3231-4de6-b9dd-253e0af92370,Amazon,amazon,"Global field operations field engineer, EMEA GFO Eng team",SoftwareEngineeringExtensive,Sweden,Sweden,False,False,,2026-06-24T10:53:38.042218Z,2026-06-24T10:53:38.042218Z,https://www.scoutjob.me/jobs/amazon-global-field-operations-field-engineer-emea-gfo-eng-team-fd212901-7337-4dba-9a32-d7e380379453,https://www.amazon.jobs/en/jobs/10457478/global-field-operations-field-engineer-emea-gfo-eng-team
30dfcde9-ea0f-4e99-93de-7f24705b009f,Roblox,roblox,Developer Engagement Representative - Vietnam (Part-Time Contract),SoftwareEngineeringExtensive,Remote,Remote,True,False,,2026-06-24T10:34:17.292874Z,2026-06-24T10:34:17.292874Z,https://www.scoutjob.me/jobs/roblox-developer-engagement-representative-vietnam-part-time-contract-8020621,https://careers.roblox.com/jobs/8020621
ede0f88b-8b6b-4c35-aa35-56b1add11b23,AMD,amd,Senior Emulation Engineer,SeniorSoftwareEngineeringExtensive,India,India,False,False,,2026-06-24T10:21:04.315901Z,2026-06-24T10:21:04.315901Z,https://www.scoutjob.me/jobs/amd-senior-emulation-engineer-86791,https://careers.amd.com/careers-home/jobs/86791
e8e027a1-9012-43e7-b73e-67b0a1641885,American Express,americanexpress,Analyst-Compliance,Analyst,India,India,False,False,,2026-06-24T10:20:57.283645Z,2026-06-24T10:20:57.283645Z,https://www.scoutjob.me/jobs/americanexpress-analyst-compliance-26006972,https://careers.americanexpress.com/en/sites/CX_1/jobs/preview/26006972
3bc74bf8-1853-44cb-a228-263ef0f2b40f,Roblox,roblox,Developer Engagement Representative - ANZ (Australia / New Zealand) (Part-Time Contract),SoftwareEngineeringExtensive,Remote,Remote,True,False,,2026-06-24T10:03:09.122704Z,2026-06-24T10:03:09.122704Z,https://www.scoutjob.me/jobs/roblox-developer-engagement-representative-anz-australia-new-zealand-part-time-contract-8025710,https://careers.roblox.com/jobs/8025710
be8e0d00-6a0e-47ed-b2c6-09280b1e3b5f,Roblox,roblox,Developer Engagement Representative - ANZ (Australia / New Zealand) (Part-Time Contract),SoftwareEngineeringExtensive,Remote,Remote,True,False,,2026-06-24T10:03:09.100535Z,2026-06-24T10:03:09.100535Z,https://www.scoutjob.me/jobs/roblox-developer-engagement-representative-anz-australia-new-zealand-part-time-contract-8020695,https://careers.roblox.com/jobs/8020695
078e9900-1623-4ff9-8feb-7c2095d0b855,JPMorgan Chase,jpmorgan,Software Engineer II - Techno Functional Quality Engineer,SoftwareEngineering,India,India,False,False,,2026-06-24T10:02:51.981205Z,2026-06-24T10:02:51.981205Z,https://www.scoutjob.me/jobs/jpmorgan-software-engineer-ii-techno-functional-quality-engineer-210762153,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/210762153
1aaa5d44-b93d-40dd-9525-2aca1c07478a,AMD,amd,Director of Silicon Design Engineering,SeniorHardwareEngineering,India,India,False,False,,2026-06-24T09:38:24.858396Z,2026-06-24T09:38:24.858396Z,https://www.scoutjob.me/jobs/amd-director-of-silicon-design-engineering-81287,https://careers.amd.com/careers-home/jobs/81287
d9f814ce-e3ad-44bb-9227-8b3163655bd3,AMD,amd,Lead Performance Modeling Engineer – GPU SoC,SeniorHardwareEngineering,India,India,False,False,,2026-06-24T09:38:24.787111Z,2026-06-24T09:38:24.787111Z,https://www.scoutjob.me/jobs/amd-lead-performance-modeling-engineer-gpu-soc-87086,https://careers.amd.com/careers-home/jobs/87086
0516ed3a-a7ad-4ffb-8f3d-c74b78042b10,AMD,amd,Lead DCGPU Performance Engineer,SeniorSoftwareEngineeringExtensive,India,India,False,False,,2026-06-24T09:38:24.652036Z,2026-06-24T09:38:24.652036Z,https://www.scoutjob.me/jobs/amd-lead-dcgpu-performance-engineer-87335,https://careers.amd.com/careers-home/jobs/87335
7179deb4-7e10-4164-bb44-d8589bca2976,Apple,apple,Data Platform Engineer,DataAiMl,India,India,False,False,,2026-06-24T09:18:05.289377Z,2026-06-24T09:18:05.289377Z,https://www.scoutjob.me/jobs/apple-data-platform-engineer-200669525,https://jobs.apple.com/en-us/details/200669525/data-platform-engineer
f0639d29-86d1-41e8-baad-bb20a339da27,Amazon,amazon,Software Dev Engineer,SoftwareEngineering,Luxembourg,Luxembourg,False,False,,2026-06-24T09:17:45.824164Z,2026-06-24T09:17:45.824164Z,https://www.scoutjob.me/jobs/amazon-software-dev-engineer-1b3800ce-778e-4a17-aa0d-0018df32a8cb,https://www.amazon.jobs/en/jobs/10442023/software-dev-engineer
